                                                                                                                             
{'loss': 7.5476, 'grad_norm': 1.1328125, 'learning_rate': 7.81163434903047e-05, 'epoch': 0.01}
{'loss': 7.2907, 'grad_norm': 0.93359375, 'learning_rate': 7.894736842105262e-05, 'epoch': 0.01}
{'loss': 7.3729, 'grad_norm': 0.91015625, 'learning_rate': 7.977839335180055e-05, 'epoch': 0.01}
{'loss': 7.3584, 'grad_norm': 0.99609375, 'learning_rate': 8.060941828254846e-05, 'epoch': 0.01}
{'loss': 7.1871, 'grad_norm': 0.90625, 'learning_rate': 8.144044321329639e-05, 'epoch': 0.01}
{'loss': 7.3592, 'grad_norm': 1.046875, 'learning_rate': 8.227146814404431e-05, 'epoch': 0.01}
{'loss': 7.1625, 'grad_norm': 0.89453125, 'learning_rate': 8.310249307479224e-05, 'epoch': 0.01}
{'loss': 7.2592, 'grad_norm': 0.765625, 'learning_rate': 8.393351800554015e-05, 'epoch': 0.01}
{'loss': 7.1762, 'grad_norm': 0.80859375, 'learning_rate': 8.476454293628808e-05, 'epoch': 0.01}
{'loss': 7.2524, 'grad_norm': 0.82421875, 'learning_rate': 8.5595567867036e-05, 'epoch': 0.01}
{'loss': 7.2529, 'grad_norm': 0.69921875, 'learning_rate': 8.642659279778394e-05, 'epoch': 0.01}
{'loss': 7.1654, 'grad_norm': 0.86328125, 'learning_rate': 8.725761772853184e-05, 'epoch': 0.01}
{'loss': 7.1781, 'grad_norm': 0.79296875, 'learning_rate': 8.808864265927978e-05, 'epoch': 0.01}
{'loss': 7.2173, 'grad_norm': 0.734375, 'learning_rate': 8.89196675900277e-05, 'epoch': 0.01}
{'loss': 7.1777, 'grad_norm': 0.7890625, 'learning_rate': 8.97506925207756e-05, 'epoch': 0.01}
{'loss': 7.0901, 'grad_norm': 0.73828125, 'learning_rate': 9.058171745152354e-05, 'epoch': 0.02}
{'loss': 7.2217, 'grad_norm': 0.69140625, 'learning_rate': 9.141274238227146e-05, 'epoch': 0.02}
{'loss': 7.0779, 'grad_norm': 0.6640625, 'learning_rate': 9.224376731301939e-05, 'epoch': 0.02}
{'loss': 7.0762, 'grad_norm': 0.71875, 'learning_rate': 9.30747922437673e-05, 'epoch': 0.02}
{'loss': 7.0405, 'grad_norm': 0.69140625, 'learning_rate': 9.390581717451523e-05, 'epoch': 0.02}
{'loss': 7.0137, 'grad_norm': 0.71484375, 'learning_rate': 9.473684210526315e-05, 'epoch': 0.02}
{'loss': 7.141, 'grad_norm': 0.6875, 'learning_rate': 9.556786703601108e-05, 'epoch': 0.02}
{'loss': 7.1622, 'grad_norm': 0.7734375, 'learning_rate': 9.639889196675899e-05, 'epoch': 0.02}
{'loss': 6.9831, 'grad_norm': 0.82421875, 'learning_rate': 9.722991689750692e-05, 'epoch': 0.02}
{'loss': 7.1385, 'grad_norm': 0.72265625, 'learning_rate': 9.806094182825484e-05, 'epoch': 0.02}
{'loss': 6.9716, 'grad_norm': 0.80078125, 'learning_rate': 9.889196675900277e-05, 'epoch': 0.02}
{'loss': 7.0425, 'grad_norm': 0.796875, 'learning_rate': 9.972299168975068e-05, 'epoch': 0.02}
{'loss': 7.0354, 'grad_norm': 0.86328125, 'learning_rate': 0.00010055401662049861, 'epoch': 0.02}
{'loss': 6.8855, 'grad_norm': 0.7109375, 'learning_rate': 0.00010138504155124653, 'epoch': 0.02}
{'loss': 6.8855, 'grad_norm': 0.8046875, 'learning_rate': 0.00010221606648199446, 'epoch': 0.02}
{'loss': 6.8252, 'grad_norm': 0.94140625, 'learning_rate': 0.00010304709141274237, 'epoch': 0.02}
{'loss': 7.0629, 'grad_norm': 0.67578125, 'learning_rate': 0.0001038781163434903, 'epoch': 0.02}
{'loss': 6.9619, 'grad_norm': 0.7890625, 'learning_rate': 0.00010470914127423821, 'epoch': 0.02}
{'loss': 7.004, 'grad_norm': 0.77734375, 'learning_rate': 0.00010554016620498614, 'epoch': 0.02}
{'loss': 6.9234, 'grad_norm': 0.7578125, 'learning_rate': 0.00010637119113573406, 'epoch': 0.02}
{'loss': 6.9142, 'grad_norm': 0.80078125, 'learning_rate': 0.00010720221606648197, 'epoch': 0.02}
{'loss': 6.9494, 'grad_norm': 0.68359375, 'learning_rate': 0.0001080332409972299, 'epoch': 0.02}
{'loss': 6.8117, 'grad_norm': 0.78515625, 'learning_rate': 0.00010886426592797782, 'epoch': 0.02}
{'loss': 6.9559, 'grad_norm': 0.6953125, 'learning_rate': 0.00010969529085872575, 'epoch': 0.02}
{'loss': 6.9458, 'grad_norm': 0.71484375, 'learning_rate': 0.00011052631578947366, 'epoch': 0.02}
{'loss': 6.9854, 'grad_norm': 0.76171875, 'learning_rate': 0.00011135734072022159, 'epoch': 0.02}
{'loss': 6.9304, 'grad_norm': 0.75, 'learning_rate': 0.00011218836565096951, 'epoch': 0.02}
{'loss': 6.9603, 'grad_norm': 0.84765625, 'learning_rate': 0.00011301939058171745, 'epoch': 0.02}
{'loss': 6.8572, 'grad_norm': 0.71484375, 'learning_rate': 0.00011385041551246535, 'epoch': 0.02}
{'loss': 6.7066, 'grad_norm': 0.94140625, 'learning_rate': 0.0001146814404432133, 'epoch': 0.02}
{'loss': 6.8762, 'grad_norm': 0.77734375, 'learning_rate': 0.00011551246537396121, 'epoch': 0.02}
{'loss': 6.761, 'grad_norm': 0.76171875, 'learning_rate': 0.00011634349030470914, 'epoch': 0.02}
{'loss': 6.8529, 'grad_norm': 0.78515625, 'learning_rate': 0.00011717451523545706, 'epoch': 0.02}
{'loss': 6.776, 'grad_norm': 0.8515625, 'learning_rate': 0.00011800554016620498, 'epoch': 0.02}
{'loss': 6.8735, 'grad_norm': 0.78125, 'learning_rate': 0.0001188365650969529, 'epoch': 0.02}
{'loss': 6.7096, 'grad_norm': 0.71484375, 'learning_rate': 0.00011966759002770083, 'epoch': 0.02}
{'loss': 6.865, 'grad_norm': 0.80859375, 'learning_rate': 0.00012049861495844874, 'epoch': 0.02}
{'loss': 6.8025, 'grad_norm': 0.64453125, 'learning_rate': 0.00012132963988919667, 'epoch': 0.02}
