  0%|                                                                              | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160M-WikiText-512-flash_attention_2.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                            
{'loss': 3.954, 'grad_norm': 0.38671875, 'learning_rate': 0.00022636363636363633, 'epoch': 0.04}
{'loss': 3.9351, 'grad_norm': 0.380859375, 'learning_rate': 0.00022909090909090907, 'epoch': 0.04}
{'loss': 3.7574, 'grad_norm': 0.392578125, 'learning_rate': 0.0002318181818181818, 'epoch': 0.04}
{'loss': 3.7738, 'grad_norm': 0.427734375, 'learning_rate': 0.00023454545454545454, 'epoch': 0.04}
{'loss': 3.7108, 'grad_norm': 0.3828125, 'learning_rate': 0.00023727272727272724, 'epoch': 0.04}
{'loss': 3.8523, 'grad_norm': 0.40234375, 'learning_rate': 0.00023999999999999998, 'epoch': 0.04}
{'loss': 3.6299, 'grad_norm': 0.365234375, 'learning_rate': 0.0002427272727272727, 'epoch': 0.04}
{'loss': 3.715, 'grad_norm': 0.375, 'learning_rate': 0.00024545454545454545, 'epoch': 0.04}
{'loss': 3.837, 'grad_norm': 0.384765625, 'learning_rate': 0.0002481818181818182, 'epoch': 0.04}
{'loss': 3.8989, 'grad_norm': 0.3828125, 'learning_rate': 0.00025090909090909086, 'epoch': 0.04}
{'loss': 3.8738, 'grad_norm': 0.375, 'learning_rate': 0.0002536363636363636, 'epoch': 0.04}
{'loss': 3.9864, 'grad_norm': 0.400390625, 'learning_rate': 0.00025636363636363633, 'epoch': 0.04}
{'loss': 3.9281, 'grad_norm': 0.388671875, 'learning_rate': 0.00025909090909090907, 'epoch': 0.04}
{'loss': 4.0104, 'grad_norm': 0.375, 'learning_rate': 0.0002618181818181818, 'epoch': 0.04}
{'loss': 3.7794, 'grad_norm': 0.37109375, 'learning_rate': 0.00026454545454545453, 'epoch': 0.04}
{'loss': 3.742, 'grad_norm': 0.37890625, 'learning_rate': 0.0002672727272727272, 'epoch': 0.04}
{'loss': 3.9816, 'grad_norm': 0.423828125, 'learning_rate': 0.00027, 'epoch': 0.05}
{'loss': 3.7579, 'grad_norm': 0.3828125, 'learning_rate': 0.0002727272727272727, 'epoch': 0.05}
{'loss': 3.8591, 'grad_norm': 0.375, 'learning_rate': 0.0002754545454545454, 'epoch': 0.05}
{'loss': 3.8762, 'grad_norm': 0.396484375, 'learning_rate': 0.00027818181818181815, 'epoch': 0.05}
{'loss': 3.7213, 'grad_norm': 0.365234375, 'learning_rate': 0.0002809090909090909, 'epoch': 0.05}
{'loss': 3.9257, 'grad_norm': 0.39453125, 'learning_rate': 0.0002836363636363636, 'epoch': 0.05}
{'loss': 3.7236, 'grad_norm': 0.380859375, 'learning_rate': 0.00028636363636363636, 'epoch': 0.05}
{'loss': 3.874, 'grad_norm': 0.388671875, 'learning_rate': 0.00028909090909090904, 'epoch': 0.05}
{'loss': 4.0044, 'grad_norm': 0.392578125, 'learning_rate': 0.0002918181818181818, 'epoch': 0.05}
