  0%|                                                                                                 | 0/2195 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                                               
{'loss': 6.6115, 'grad_norm': 0.85546875, 'learning_rate': 0.00021545454545454542, 'epoch': 0.04}
{'loss': 6.6475, 'grad_norm': 0.58984375, 'learning_rate': 0.00021818181818181816, 'epoch': 0.04}
{'loss': 6.7617, 'grad_norm': 0.66015625, 'learning_rate': 0.0002209090909090909, 'epoch': 0.04}
{'loss': 6.6868, 'grad_norm': 0.7578125, 'learning_rate': 0.00022363636363636363, 'epoch': 0.04}
{'loss': 6.5778, 'grad_norm': 0.609375, 'learning_rate': 0.00022636363636363633, 'epoch': 0.04}
{'loss': 6.813, 'grad_norm': 0.75, 'learning_rate': 0.00022909090909090907, 'epoch': 0.04}
{'loss': 6.6508, 'grad_norm': 0.6640625, 'learning_rate': 0.0002318181818181818, 'epoch': 0.04}
{'loss': 6.677, 'grad_norm': 0.640625, 'learning_rate': 0.00023454545454545454, 'epoch': 0.04}
{'loss': 6.5992, 'grad_norm': 0.59375, 'learning_rate': 0.00023727272727272724, 'epoch': 0.04}
{'loss': 6.5802, 'grad_norm': 0.61328125, 'learning_rate': 0.00023999999999999998, 'epoch': 0.04}
{'loss': 6.4682, 'grad_norm': 0.6171875, 'learning_rate': 0.0002427272727272727, 'epoch': 0.04}
{'loss': 6.602, 'grad_norm': 0.703125, 'learning_rate': 0.00024545454545454545, 'epoch': 0.04}
{'loss': 6.5561, 'grad_norm': 0.52734375, 'learning_rate': 0.0002481818181818182, 'epoch': 0.04}
{'loss': 6.5762, 'grad_norm': 0.72265625, 'learning_rate': 0.00025090909090909086, 'epoch': 0.04}
{'loss': 6.5217, 'grad_norm': 0.609375, 'learning_rate': 0.0002536363636363636, 'epoch': 0.04}
{'loss': 6.6154, 'grad_norm': 0.6328125, 'learning_rate': 0.00025636363636363633, 'epoch': 0.04}
{'loss': 6.5857, 'grad_norm': 0.55859375, 'learning_rate': 0.00025909090909090907, 'epoch': 0.04}
{'loss': 6.5853, 'grad_norm': 0.60546875, 'learning_rate': 0.0002618181818181818, 'epoch': 0.04}
{'loss': 6.5421, 'grad_norm': 0.58984375, 'learning_rate': 0.00026454545454545453, 'epoch': 0.04}
{'loss': 6.544, 'grad_norm': 0.66796875, 'learning_rate': 0.0002672727272727272, 'epoch': 0.04}
{'loss': 6.678, 'grad_norm': 0.67578125, 'learning_rate': 0.00027, 'epoch': 0.05}
{'loss': 6.4396, 'grad_norm': 0.69140625, 'learning_rate': 0.0002727272727272727, 'epoch': 0.05}
{'loss': 6.558, 'grad_norm': 0.7421875, 'learning_rate': 0.0002754545454545454, 'epoch': 0.05}
{'loss': 6.4655, 'grad_norm': 0.55859375, 'learning_rate': 0.00027818181818181815, 'epoch': 0.05}
{'loss': 6.3541, 'grad_norm': 0.57421875, 'learning_rate': 0.0002809090909090909, 'epoch': 0.05}
{'loss': 6.5567, 'grad_norm': 0.58203125, 'learning_rate': 0.0002836363636363636, 'epoch': 0.05}
{'loss': 6.3818, 'grad_norm': 0.6953125, 'learning_rate': 0.00028636363636363636, 'epoch': 0.05}
{'loss': 6.4225, 'grad_norm': 0.57421875, 'learning_rate': 0.00028909090909090904, 'epoch': 0.05}
{'loss': 6.5146, 'grad_norm': 0.69921875, 'learning_rate': 0.0002918181818181818, 'epoch': 0.05}
{'loss': 6.5132, 'grad_norm': 0.65234375, 'learning_rate': 0.0002945454545454545, 'epoch': 0.05}
{'loss': 6.3941, 'grad_norm': 0.5546875, 'learning_rate': 0.00029727272727272724, 'epoch': 0.05}
{'loss': 6.302, 'grad_norm': 0.57421875, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 6.4328, 'grad_norm': 0.70703125, 'learning_rate': 0.0003027272727272727, 'epoch': 0.05}
{'loss': 6.181, 'grad_norm': 0.7109375, 'learning_rate': 0.0003054545454545454, 'epoch': 0.05}
{'loss': 6.3175, 'grad_norm': 0.8984375, 'learning_rate': 0.0003081818181818182, 'epoch': 0.05}
{'loss': 6.2508, 'grad_norm': 0.71484375, 'learning_rate': 0.0003109090909090909, 'epoch': 0.05}
{'loss': 6.3892, 'grad_norm': 0.69140625, 'learning_rate': 0.0003136363636363636, 'epoch': 0.05}
