  0%|                                                                               | 0/10962 [00:00<?, ?it/s]WARNING:transformers_modules.GPTNeoX-160m.modeling_custom:`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
                                                                                                              
{'loss': 8.7842, 'grad_norm': 1.5078125, 'learning_rate': 4.977210574293527e-05, 'epoch': 0.01}
{'loss': 8.6622, 'grad_norm': 1.4140625, 'learning_rate': 5.031905195989061e-05, 'epoch': 0.01}
{'loss': 8.5823, 'grad_norm': 1.6015625, 'learning_rate': 5.086599817684594e-05, 'epoch': 0.01}
{'loss': 8.6035, 'grad_norm': 1.3984375, 'learning_rate': 5.141294439380127e-05, 'epoch': 0.01}
{'loss': 8.6209, 'grad_norm': 1.390625, 'learning_rate': 5.1959890610756606e-05, 'epoch': 0.01}
{'loss': 8.5397, 'grad_norm': 1.3671875, 'learning_rate': 5.250683682771194e-05, 'epoch': 0.01}
{'loss': 8.4483, 'grad_norm': 1.3984375, 'learning_rate': 5.305378304466727e-05, 'epoch': 0.01}
{'loss': 8.554, 'grad_norm': 1.2734375, 'learning_rate': 5.36007292616226e-05, 'epoch': 0.01}
{'loss': 8.5845, 'grad_norm': 1.203125, 'learning_rate': 5.414767547857794e-05, 'epoch': 0.01}
{'loss': 8.5209, 'grad_norm': 1.1640625, 'learning_rate': 5.4694621695533265e-05, 'epoch': 0.01}
{'loss': 8.4733, 'grad_norm': 1.234375, 'learning_rate': 5.52415679124886e-05, 'epoch': 0.01}
{'loss': 8.4127, 'grad_norm': 1.3046875, 'learning_rate': 5.5788514129443935e-05, 'epoch': 0.01}
{'loss': 8.3455, 'grad_norm': 1.2421875, 'learning_rate': 5.633546034639927e-05, 'epoch': 0.01}
{'loss': 8.3256, 'grad_norm': 1.203125, 'learning_rate': 5.68824065633546e-05, 'epoch': 0.01}
{'loss': 8.4348, 'grad_norm': 1.1875, 'learning_rate': 5.742935278030993e-05, 'epoch': 0.01}
{'loss': 8.232, 'grad_norm': 1.140625, 'learning_rate': 5.797629899726527e-05, 'epoch': 0.01}
{'loss': 8.3359, 'grad_norm': 1.109375, 'learning_rate': 5.8523245214220594e-05, 'epoch': 0.01}
{'loss': 8.2482, 'grad_norm': 1.0234375, 'learning_rate': 5.9070191431175926e-05, 'epoch': 0.01}
{'loss': 8.2643, 'grad_norm': 1.0625, 'learning_rate': 5.9617137648131265e-05, 'epoch': 0.01}
{'loss': 8.1391, 'grad_norm': 1.09375, 'learning_rate': 6.0164083865086596e-05, 'epoch': 0.01}
{'loss': 8.1261, 'grad_norm': 1.1015625, 'learning_rate': 6.071103008204193e-05, 'epoch': 0.01}
{'loss': 8.18, 'grad_norm': 1.0703125, 'learning_rate': 6.125797629899727e-05, 'epoch': 0.01}
{'loss': 8.152, 'grad_norm': 1.09375, 'learning_rate': 6.180492251595259e-05, 'epoch': 0.01}
{'loss': 8.1716, 'grad_norm': 0.91796875, 'learning_rate': 6.235186873290792e-05, 'epoch': 0.01}
{'loss': 8.0403, 'grad_norm': 1.046875, 'learning_rate': 6.289881494986326e-05, 'epoch': 0.01}
{'loss': 8.0494, 'grad_norm': 1.0390625, 'learning_rate': 6.34457611668186e-05, 'epoch': 0.01}
{'loss': 7.8676, 'grad_norm': 1.015625, 'learning_rate': 6.399270738377392e-05, 'epoch': 0.01}
{'loss': 7.8283, 'grad_norm': 1.046875, 'learning_rate': 6.453965360072926e-05, 'epoch': 0.01}
{'loss': 7.7691, 'grad_norm': 1.0, 'learning_rate': 6.50865998176846e-05, 'epoch': 0.01}
{'loss': 7.8118, 'grad_norm': 0.93359375, 'learning_rate': 6.563354603463992e-05, 'epoch': 0.01}
{'loss': 7.7468, 'grad_norm': 0.98046875, 'learning_rate': 6.618049225159525e-05, 'epoch': 0.01}
{'loss': 7.9198, 'grad_norm': 0.890625, 'learning_rate': 6.672743846855058e-05, 'epoch': 0.01}
{'loss': 7.9222, 'grad_norm': 0.86328125, 'learning_rate': 6.727438468550592e-05, 'epoch': 0.01}
{'loss': 7.6511, 'grad_norm': 1.5390625, 'learning_rate': 6.782133090246125e-05, 'epoch': 0.01}
{'loss': 7.6431, 'grad_norm': 0.83984375, 'learning_rate': 6.836827711941659e-05, 'epoch': 0.01}
{'loss': 7.7441, 'grad_norm': 0.90625, 'learning_rate': 6.891522333637192e-05, 'epoch': 0.01}
{'loss': 7.858, 'grad_norm': 1.015625, 'learning_rate': 6.946216955332725e-05, 'epoch': 0.01}
{'loss': 7.7195, 'grad_norm': 1.0234375, 'learning_rate': 7.000911577028257e-05, 'epoch': 0.01}
{'loss': 7.6164, 'grad_norm': 1.0234375, 'learning_rate': 7.055606198723791e-05, 'epoch': 0.01}
{'loss': 7.6495, 'grad_norm': 0.83984375, 'learning_rate': 7.110300820419325e-05, 'epoch': 0.01}
{'loss': 7.6969, 'grad_norm': 0.8984375, 'learning_rate': 7.164995442114858e-05, 'epoch': 0.01}
{'loss': 7.5603, 'grad_norm': 0.80859375, 'learning_rate': 7.219690063810392e-05, 'epoch': 0.01}
{'loss': 7.5682, 'grad_norm': 0.875, 'learning_rate': 7.274384685505925e-05, 'epoch': 0.01}
{'loss': 7.6127, 'grad_norm': 0.90625, 'learning_rate': 7.329079307201458e-05, 'epoch': 0.01}
{'loss': 7.5812, 'grad_norm': 0.83984375, 'learning_rate': 7.38377392889699e-05, 'epoch': 0.01}
{'loss': 7.6736, 'grad_norm': 0.92578125, 'learning_rate': 7.438468550592524e-05, 'epoch': 0.01}
{'loss': 7.6493, 'grad_norm': 0.79296875, 'learning_rate': 7.493163172288058e-05, 'epoch': 0.01}
